"Source:,""GPSDO V4_1 Output Board.kicad_sch"""
"Date:,""9/29/2023 2:25:53 PM"""
"Tool:,""Eeschema (6.0.9)"""
"Generator:,""C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"""
"Component Count:,""57"""

Individual Components:

"Item,""Qty"",""Reference(s)"",""Value"",""LibPart"",""Footprint"",""Datasheet"""
","""",""C1"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C2"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C3"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C4"",""10nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C5"",""10nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C6"",""10nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C7"",""10uF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C8"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C9"",""10uF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C10"",""1nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C11"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C12"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C13"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C14"",""100nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C15"",""10nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C16"",""10nF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""C17"",""10uF"",""Device:C"",""Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",""~"""
","""",""FB1"",""1K"",""Device:FerriteBead_Small"",""Inductor_SMD:L_0603_1608Metric_Pad1.05x0.95mm_HandSolder"",""~"""
","""",""J1"",""10MHz Out"",""Connector:Conn_Coaxial"",""Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"","" ~"""
","""",""J3"",""10MHz"",""Connector:Conn_01x02_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal"",""~"""
","""",""J4"",""10MHz"",""Connector:Conn_01x02_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal"",""~"""
","""",""J7"",""RF interconnect"",""Connector:Conn_01x03_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"",""~"""
","""",""J8"",""1PPS Out"",""Connector:Conn_Coaxial"",""Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"","" ~"""
","""",""J9"",""1PPS In"",""Connector:Conn_Coaxial"",""Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"","" ~"""
","""",""J10"",""NEO USB Serial"",""Connector:Conn_01x03_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"",""~"""
","""",""J11"",""RPi Interconnect"",""Connector:Conn_01x04_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal"",""~"""
","""",""J12"",""NANO USB Serial"",""Connector:Conn_01x03_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal"",""~"""
","""",""J13"",""Serial interconnect"",""Connector:Conn_01x06_Male"",""Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal"",""~"""
","""",""PS1"",""SIM1-0505"",""My_Symbols:SIM1-0505"",""My Footprints:Converter_DCDC_HN_MODUL_SIM1-0505"",""https://cdn-reichelt.de/documents/datenblatt/D400/SIM1_SIL4%23HN.pdf"""
","""",""R1"",""1M"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R2"",""1M"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R3"",""1M"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R4"",""100R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R5"",""100R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R6"",""100R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R7"",""100R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R8"",""100R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R9"",""100R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R10"",""10R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R11"",""1K"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R12"",""2K2"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R13"",""10R"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
","""",""R14"",""1K"",""Device:R"",""Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",""~"""
