"null,""Sourced"",""Placed"",""References"",""Value"",""Footprint"",""Quantity"""
"1,"""","""",""C3, C11, C20, C23, C24, C28, C29, C36, C39, C44, C47, C50, C52, C57"",""10uF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",14"
"2,"""","""",""C2, C12, C14, C18, C22, C37, C40, C46, C49, C55"",""100nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",10"
"3,"""","""",""C25, C26, C27, C30, C31"",""22uF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",5"
"4,"""","""",""C1, C13, C45, C51"",""1uF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",4"
"5,"""","""",""C15, C33, C35"",""10nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",3"
"6,"""","""",""C19, C34, C42"",""100uF"",""CP_Radial_D6.3mm_P2.50mm"",3"
"7,"""","""",""C38, C41, C43"",""1nF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",3"
"8,"""","""",""C16"",""100pF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",1"
"9,"""","""",""C17"",""22uF NPO"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",1"
"10,"""","""",""C21"",""330uF"",""CP_Radial_D8.0mm_P3.80mm"",1"
"11,"""","""",""C32"",""4.7uF"",""C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"",1"
"12,"""","""",""R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75"",""68R"",""R_2512_6332Metric_Pad1.40x3.35mm_HandSolder"",54"
"13,"""","""",""R1, R2, R14, R88, R89"",""75R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",5"
"14,"""","""",""R21, R81, R82, R83"",""10K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",4"
"15,"""","""",""R16, R19, R102"",""100K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",3"
"16,"""","""",""R84, R85, R92"",""100R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",3"
"17,"""","""",""R90, R93, R94"",""10R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",3"
"18,"""","""",""R15, R87"",""1K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"19,"""","""",""R78, R79"",""220R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"20,"""","""",""R95, R96"",""4K7"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",2"
"21,"""","""",""R17"",""7K5"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"22,"""","""",""R18"",""6K8"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"23,"""","""",""R20"",""10Meg"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"24,"""","""",""R76"",""680R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"25,"""","""",""R77"",""1K2"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"26,"""","""",""R80"",""0.5R"",""R_2512_6332Metric_Pad1.40x3.35mm_HandSolder"",1"
"27,"""","""",""R86"",""3K9"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"28,"""","""",""R91"",""51R"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"29,"""","""",""R103"",""5K1"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"30,"""","""",""R104"",""13K"",""R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"",1"
"31,"""","""",""L1"",""10-100uH"",""L_Axial_L5.3mm_D2.2mm_P2.54mm_Vertical_Vishay_IM-1"",1"
"32,"""","""",""D3, D4, D5, D6"",""1N4148"",""D_0805_2012Metric_Pad1.15x1.40mm_HandSolder"",4"
"33,"""","""",""D2"",""SS54"",""D_SMB_Handsoldering"",1"
"34,"""","""",""D7"",""BAT54C"",""SOT-23"",1"
"35,"""","""",""D8"",""7V5"",""D_1206_3216Metric_Pad1.42x1.75mm_HandSolder"",1"
"36,"""","""",""D9"",""BZX84C6V2"",""SOT-23"",1"
"37,"""","""",""U4, U14"",""LM45"",""SOT-23"",2"
"38,"""","""",""U8, U9"",""AMS1117-5.0"",""SOT-223-3_TabPin2"",2"
"39,"""","""",""U5"",""OPA1641"",""SOIC-8_3.9x4.9mm_P1.27mm"",1"
"40,"""","""",""U7"",""LM317 TO-252"",""TO-252-2-large_tab"",1"
"41,"""","""",""U10"",""CTI_OC5SC25"",""CTI_OC5SC25"",1"
"42,"""","""",""U11"",""Bliley_NV47M1008"",""Bliley_NV47M1008"",1"
"43,"""","""",""U12"",""74HC390"",""SOIC-16_3.9x9.9mm_P1.27mm"",1"
"44,"""","""",""U13"",""74HC4046"",""SOIC-16_3.9x9.9mm_P1.27mm"",1"
"45,"""","""",""U15"",""DAC8531"",""VSSOP-8_3.0x3.0mm_P0.65mm"",1"
"46,"""","""",""U16"",""REF5040AD"",""SOIC-8_3.9x4.9mm_P1.27mm"",1"
"47,"""","""",""A1"",""Arduino_Nano_v3.x"",""Arduino_Nano"",1"
"48,"""","""",""Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9"",""AO3400A"",""SOT-23"",9"
"49,"""","""",""H2, H3, H4"",""MountingHole_Pad"",""MountingHole_3.2mm_M3_DIN965_Pad_TopBottom"",3"
"50,"""","""",""FB2, FB3"",""2A"",""L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"",2"
"51,"""","""",""FB6, FB7"",""1K"",""L_0603_1608Metric_Pad1.05x0.95mm_HandSolder"",2"
"52,"""","""",""FB4"",""BLM21AH102SN1D"",""L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"",1"
"53,"""","""",""FB5"",""BLM41PF800SN1L"",""L_1806_4516Metric_Pad1.45x1.90mm_HandSolder"",1"
"54,"""","""",""H1"",""GND"",""MountingHole_3.2mm_M3_DIN965_Pad_TopBottom"",1"
"55,"""","""",""RV2"",""2K"",""Potentiometer_Bourns_3224W_Vertical"",1"
"56,"""","""",""TP1"",""f-Adjust"",""TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded"",1"
"57,"""","""",""TP2"",""PCB Temp"",""TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded"",1"
"58,"""","""",""TP3"",""Heater Reg"",""TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded"",1"
"59,"""","""",""J2"",""RF conn"",""PinHeader_1x03_P2.54mm_Vertical"",1"
"60,"""","""",""J3"",""DC-IN"",""TerminalBlock_Altech_AK300-2_P5.00mm"",1"
"61,"""","""",""J4"",""5V Counter "",""PinHeader_1x02_P2.54mm_Vertical"",1"
"62,"""","""",""J5"",""LM35DT"",""PinHeader_1x03_P2.54mm_Vertical"",1"
"63,"""","""",""J6"",""NEO 6M/8M/8T"",""PinSocket_1x05_P2.54mm_Vertical"",1"
"64,"""","""",""J7"",""NEO Serial"",""PinHeader_1x03_P2.54mm_Vertical"",1"
